frame_id,timestamp,event_type,player_id,court_x,court_y,target_court_x,target_court_y,result,confidence,description
86,2.866667,serve_toss,player_1,0.636549,1.022291,,,,0.804,player_1 begins a serve toss
110,3.666667,serve,player_1,0.642507,0.981703,,,,0.781,player_1 serves
133,4.433333,return,player_2,0.176053,-0.027165,,,,0.731,player_2 returns player_1's serve
157,5.233333,rally_hit,player_1,0.532879,1.031072,0.804927,0.163465,,0.862,player_1 hits during the rally
191,6.366667,bounce_in,,0.804927,0.163465,,,in,0.625,Ball bounces in
226,7.533333,rally_hit,player_2,0.870363,-0.081147,,,,0.724,player_2 hits during the rally
260,8.666667,serve_toss,player_1,0.299423,0.930667,,,,0.882,player_1 begins a serve toss
283,9.433333,rally_hit,player_2,0.320948,-0.105600,,,,0.738,player_2 hits during the rally
308,10.266667,serve,player_1,0.455800,0.733191,,,,0.777,player_1 serves
328,10.933333,serve_toss,player_1,0.456869,0.697473,,,,0.829,player_1 begins a serve toss
338,11.266667,serve,player_1,0.450051,0.680966,0.734086,0.266310,,0.714,player_1 serves
368,12.266667,bounce_in,,0.734086,0.266310,,,in,0.610,Ball bounces in
376,12.533333,return,player_2,0.849014,-0.184062,,,,0.750,player_2 returns player_1's serve
402,13.400000,rally_hit,player_2,0.905963,-0.171567,0.376277,0.857811,,0.720,player_2 hits during the rally
429,14.300000,bounce_in,,0.376277,0.857811,,,in,0.770,Ball bounces in
439,14.633333,rally_hit,player_1,0.179493,1.045040,,,,0.716,player_1 hits during the rally
501,16.700000,rally_hit,player_1,0.618116,1.018365,,,,0.855,player_1 hits during the rally
519,17.300000,serve_toss,player_1,0.792117,0.992828,,,,0.778,player_1 begins a serve toss
586,19.533333,serve,player_1,0.418392,1.024593,,,,0.795,player_1 serves
609,20.300000,miss,player_2,0.459920,0.977721,,,miss,0.420,player_2 likely misses the ball
609,20.300000,point_won,player_1,0.459920,0.977721,,,point_won,0.357,player_1 likely wins the point
646,21.533333,serve_toss,player_1,0.425606,1.015984,,,,0.884,player_1 begins a serve toss
654,21.800000,serve,player_1,0.417934,1.015807,,,,0.732,player_1 serves
679,22.633333,rally_hit,player_1,0.462859,0.961589,,,,0.871,player_1 hits during the rally
698,23.266667,serve_toss,player_2,0.819633,-0.187677,,,,0.873,player_2 begins a serve toss
749,24.966667,rally_hit,player_1,0.276187,1.071351,,,,0.854,player_1 hits during the rally
788,26.266667,serve,player_2,0.734139,-0.058788,,,,0.698,player_2 serves
828,27.600000,return,player_1,0.636099,1.140025,,,,0.873,player_1 returns player_2's serve
